word,definition
EAGLE,"a large bird of prey [n -S] / to score two under par in golf [v EAGLED, EAGLING, EAGLES]"
EAGRE,"a bore or sudden rise of the tide, also EAGER, EGER [n -S]"
EARED,"EAR, to plough or till [v]"
EARLS,"EARL, a rank above viscount, below marquis [n]"
EARLY,"an early potato [n EARLIES] / before the due time [adj EARLIER, EARLIEST]"
EARNS,"EARN, to gain or deserve for one's labour or service, also ERN [v]"
EARNT,"EARN, to gain or deserve for one's labour or service, also ERN [v]"
EARST,"formerly, also ERST [adv]"
EARTH,"to cover with soil [v -ED, -ING, -S]"
EASED,"EASE, to free from pain or trouble [v]"
EASEL,a three-legged frame [n -S]
EASER,one who eases [n -S]
EASES,"EASE, to free from pain or trouble [v]"
EATEN,"EAT, to consume food [v]"
EATER,one who eats [n -S]
EAVED,"EAVE, to give cover under the eaves of a building [v]"
EAVES,"EAVE, to give cover under the eaves of a building [v]"
EBONS,"EBON, a hard wood like stone, also EBONY, HEBEN [n]"
EBONY,"a dark heavy tropical wood, also EBON, HEBEN [n EBONIES]"
EBOOK,a book in electronic form [n -S]
ECADS,"ECAD, a plant which has supposedly adapted to its environment [n]"
ECHOS,"ECHO, a reflected sound [n]"
EDGED,"EDGE, to furnish with a border [v]"
EDGER,a tool used to trim lawn borders [n -S]
EDGES,"EDGE, to furnish with a border [v]"
EDICT,an authoritative order having the force of law [n -S]
EDIFY,"to enlighten [v EDIFIED, EDIFYING, EDIFIES]"
EDITS,"EDIT, to prepare for publication [v]"
EDUCE,"to draw out, elicit [v EDUCED, EDUCING, EDUCES]"
EDUCT,"that which is educed, as by analysis [n -S]"
EERIE,"uncanny, also EERY [adj EERIER, EERIEST, EERILY]"
EEVEN,"the latter part of daylight hours, also EVENING, EEVN, EEVNING [n -S]"
EEVNS,"EEVN, the latter part of daylight hours, also EVENING, EEVEN, EEVNING [n]"
EGADS,"a mild oath, also EGAD, ECOD, IGAD [interj]"
EGERS,"EGER, a tidal flood, also EAGER, EAGRE [n]"
EGEST,"to discharge from the body [v -ED, -ING, -S]"
EGGAR,"any of several large brown moths, also EGGER [n -S]"
EGGED,"EGG, to incite [v]"
EGGER,"any of several large brown moths, also EGGAR [n -S]"
EGRET,a wading bird of the heron family [n -S]
EHING,"EH, to say 'Eh', expressing enquiry [v]"
EIGHT,the cardinal number one above seven [n -S]
EILDS,"EILD, old age, also ELD [n]"
EJECT,"to throw out forcibly [v -ED, -ING, -S]"
EKING,"EKE, to augment, also ECH, ECHE, EECH, EIK, ICH [v]"
ELAIN,"a glyceride of oleic acid, also OLEIN, OLEINE, TRIOLEIN [n -S]"
ELATE,"to raise the spirits of [v ELATED, ELATING, ELATES]"
ELBOW,"to jostle [v -ED, -ING, -S]"
ELDER,a kind of shrub or small tree bearing white flowers and black berries [n -S]
ELECT,"to select by vote [v -ED, -ING, -S]"
ELEGY,a mournful poem for the dead [n ELEGIES]
ELEMI,a fragrant resinous substance obtained from various tropical trees [n -S]
ELFIN,"like an elf, also ELVEN [adj] / a little elf [n -S]"
ELITE,a socially select group [n -S]
ELMEN,made of elm [adj]
ELOGY,"a funeral oration, also ELOGE, ELOGIUM [n ELOGIES]"
ELOIN,"to remove to a distant place, also ELOIGN, ESLOIN, ESLOYNE [v -ED, -ING, -S]"
ELOPE,"to run away to be married secretly [v ELOPED, ELOPING, ELOPES]"
ELOPS,"a type of sturgeon, also ELLOPS [n -ES]"
ELPEE,a long-playing record [n -S]
ELUDE,"to evade [v ELUDED, ELUDING, ELUDES]"
ELUTE,"to remove by means of a solvent [v ELUTED, ELUTING, ELUTES]"
ELVEN,"resembling an elf, also ELFIN [adj]"
ELVER,a young eel [n -S]
ELVES,"ELF, a fairylike being [n]"
EMACS,a powerful computer program for editing text [n EMACSEN]
EMAIL,"to send electronic mail [v -ED, -ING, -S]"
EMBAY,"to enclose in a bay [v -ED, -ING, -S]"
EMBED,"to plant firmly, also IMBED [v EMBEDDED, EMBEDDING, EMBEDS]"
EMBER,a small piece of wood or coal from a dying fire [n -S]
EMBOG,"to bog down [v EMBOGGED, EMBOGGING, EMBOGS]"
EMBOW,"to bend or arch [v -ED, -ING, -S]"
EMBOX,"to set in a box [v -ED, -ING, -ES]"
EMBUS,"to board a bus [v EMBUSSED or EMBUSED, EMBUSSING or EMBUSING, EMBUSSES or EMBUSES]"
EMCEE,"to serve as master of ceremonies [v EMCEED, EMCEEING, EMCEES]"
EMEND,"to correct, also EMENDATE [v -ED, -ING, -S]"
EMERG,the section of a hospital that deals with emergencies [n -S]
EMEUS,"EMEU, aa large flightless bird, also EMU [n]"
EMICS,"EMIC, a type of linguistic analysis [n]"
EMITS,"EMIT, to send forth [v]"
EMMAS,"EMMA, formerly, a signaller's name for the letter M [n]"
EMMEW,"to confine, mew up, as a hawk in mews, also ENMEW, IMMEW [v -ED, -ING, -S]"
EMOTE,"to show exaggerated emotion [v EMOTED, EMOTING, EMOTES]"
EMOVE,"to affect emotionally, also EMMOVE, ENMOVE [v EMOVED, EMOVING, EMOVES]"
EMPTY,"to remove the contents of [v EMPTIED, EMPTYING, EMPTIES] / containing nothing [adj EMPTIER, EMPTIEST, EMPTILY]"
EMYDE,"a genus of freshwater terrapin, also EMYD, EMYS [n -S]"
EMYDS,"EMYD, a genus of freshwater terrapin, also EMYDE, EMYS [n]"
ENACT,"to establish by law [v -ED, -ING, -S]"
ENATE,a relative in the mother's side [n -S]
ENDED,"END, to terminate [v]"
ENDER,one that ends something [n -S]
ENDOW,"to bequeath, also INDOW [v -ED, -ING, -S]"
ENDUE,"to put on, as of clothes; to invest with, also ENDEW, INDEW, INDOW, INDUE [v ENDUED, ENDUING, ENDUES]"
ENEMY,one that is antagonistic toward another [n ENEMIES]
ENEWS,"ENEW, in falconry, to plunge the quarry into water [v]"
ENIAC,an early computer [n -S]
ENJOY,"to take pleasure in [v -ED, -ING, -S]"
ENLIT,"ENLIGHT, to shed light on [v]"
ENMEW,"to confine, also EMMEW, IMMEW [v -ED, -ING, -S]"
ENOLS,"ENOL, a type of organic chemical compound [n]"
ENORM,"huge, also ENORMOUS [adj]"
ENROL,"to insert on a register, also ENROLL [v ENROLLED, ENROLLING, ENROLS]"
ENSUE,"to follow, also ENSEW [v ENSUED, ENSUING, ENSUES]"
ENTER,"to go or come in [v -ED, -ING, -S]"
ENTIA,"ENS, being, existence; an entity [n]"
ENTRY,a place of entrance [n ENTRIES]
ENURE,"to accustom or habituate to, also INURE [v ENURED, ENURING, ENURES]"
ENURN,"to put into an urn, also INURN [v -ED, -ING, -S]"
ENVOY,a representative [n -S]
ENZYM,"a complex protein that acts as a catalyst, also ENZYME [n -S]"
EOSIN,"a red dye, also EOSINE [n -S]"
EPACT,the difference in days between the lunar and solar year [n -S]
EPICS,"EPIC, a long narrative poem [n]"
EPOCH,"an important period of time, also EPOCHA [n -S]"
EPODE,"a genre of lyric poem, in which a longer verse is followed by a shorter one [n -S]"
EPOPT,someone initiated into the Eleusian mysteries [n -S]
EPOXY,"to glue with a type of resin [v EPOXYED or EPOXIED, EPOXYING, EPOXIES]"
EQUAL,"equivalent, also EGAL [adj EQUALLY] / to make equal [v EQUALED or EQUALLED, EQUALING or EQUALLING, EQUALS]"
EQUIP,"to provide with what is needed [v EQUIPPED, EQUIPPING, EQUIPS]"
ERASE,"to efface or rub out [v ERASED, ERASING, ERASES]"
ERECT,"upright [adj ERECTLY] / to build or raise up [v -ED, -ING, -S]"
ERGOT,a fungal disease of grasses [n -S]
ERING,"ERE, to plough [v]"
ERNES,"ERNE, an eagle, esp. a long-winged sea eagle with a short white wedge-shaped tail [n]"
ERODE,"to wear away [v ERODED, ERODING, ERODES]"
EROSE,irregularly notched as if bitten [adj]
ERRED,"ERR, to make a mistake [v]"
ERROR,a mistake [n -S]
ERSES,"ERS, a European vetch, also ERVIL [n]"
ERUCT,"to belch out, also ERUCTATE [v -ED, -ING, -S]"
ERUPT,"to break out or through [v -ED, -ING, -S]"
ERVIL,"a European vetch, also ERS [n -S]"
ESCAR,"a narrow ridge of gravel and sand, also ESKAR, ESKER [n -S]"
ESKAR,"a narrow ridge of gravel and sand, also ESCAR, ESKER [n -S]"
ESKER,"a narrow ridge of gravel and sand, also ESCAR, ESKAR [n -S]"
ESSAY,"to attempt [v -ED, -ING, -S]"
ESTER,"a compound formed by the condensation of an alcohol and an acid, with elimination of water [n -S]"
ESTOP,"to hinder or preclude [v ESTOPPED, ESTOPPING, ESTOPS]"
ETENS,"ETEN, a giant, also ETTIN [n]"
ETHAL,"a white waxy solid, aka cetyl alcohol [n -S]"
ETHER,a volatile liquid used as an anaesthetic [n -S]
ETHIC,"relating to morals, also ETHICAL [adj ETHICALLY] / a body of moral principles [n -S]"
ETHYL,"a univalent chemical radical, also ETHINYL, ETHOXY, ETHOXYL, ETHYNYL [n -S]"
ETICS,"ETIC, a type of linguistic analysis [n]"
ETNAS,"ETNA, a vessel for heating liquids [n]"
ETWEE,"a small ornamental case for holding, e.g. needles, also ETUI [n -S]"
ETYMA,"ETYMON, the true origin of a word [n]"
EUPAD,an antiseptic powder [n -S]
EUSOL,an antiseptic solution obtained by treating eupad with water [n -S]
EVADE,"to escape or avoid by cunning [v EVADED, EVADING, EVADES]"
EVENS,"EVEN, to make smooth or level [v]"
EVENT,"a happening [n -S] / to take part in a horse-riding event [v -ED, -ING, -S]"
EVERT,"to turn inside out [v -ED, -ING, -S]"
EVERY,each without exception [adj]
EVETS,"EVET, a newt, also EFT, EWT [n]"
EVICT,"to dispossess by law [v -ED, -ING, -S]"
EVILS,"EVIL, wickedness or depravity [n]"
EVITE,"to avoid, also EVITATE [v EVITED, EVITING, EVITES]"
EVOKE,"to call forth [v EVOKED, EVOKING, EVOKES]"
EWERS,"EWER, a jug with a wide mouth, esp. a water-jug of the kind formerly used in bedrooms [n]"
EXACT,"precise [adj EXACTER, EXACTEST, EXACTLY] / to demand [v -ED, -ING, -S]"
EXALT,"to place in a high position [v -ED, -ING, -S]"
EXAMS,"EXAM, an examination [n]"
EXCEL,"to surpass others [v EXCELLED, EXCELLING, EXCELS]"
EXERT,"to make an effort [v -ED, -ING, -S]"
EXILE,"to banish from one's own country [v EXILED, EXILING, EXILES]"
EXINE,"the outer layer of some spores, also EXTINE [n -S]"
EXING,"EX, to cross out [v]"
EXIST,"to have actual being, to live [v -ED, -ING, -S]"
EXITS,"EXIT, to go out [v]"
EXOME,a part of the genome consisting of exons [n -S]
EXONS,"EXON, within a nucleic acid, a sequence which codes for protein synthesis [n]"
EXPAT,"someone who lives abroad, an expatriate [n -S]"
EXPEL,"to force out [v EXPELLED, EXPELLING, EXPELS]"
EXPOS,"EXPO, an exhibition or public showing [n]"
EXTRA,something additional [n -S]
EXUDE,"to ooze forth [v EXUDED, EXUDING, EXUDES]"
EXULT,"to rejoice greatly [v -ED, -ING, -S]"
EXURB,a residential area beyond the suburbs in a city [n -S]
EYASS,"an untrained young hawk, also EYAS, NYAS [n -ES]"
EYERS,"EYER, one who eyes [n]"
EYING,"EYE, to watch closely [v]"
EYOTS,"EYOT, a small island, also AIT [n]"
EYRAS,"EYRA, a South American wild cat, aka jaguarundi, jaguarondi [n]"
EYRIE,"a bird of prey's nest, also AERIE, AERY, AIERY, AYRIE, EYRY [n -S]"
EZINE,"a magazine available only in electronic form, for example on the internet [n -S]"
FABLE,"to tell fictitious tales [v FABLED, FABLING, FABLES]"
FACED,"FACE, to confront [v]"
FACER,a sudden difficulty [n -S]
FACES,"FACE, to confront [v]"
FACET,"to cut small plane surfaces on [v FACETED or FACETTED, FACETING or FACETTING, FACETS]"
FACIA,"an architectural band, also FASCIA [n FACIAS or FACIAE]"
FACTS,"FACT, something known with certainty [n]"
FADDY,"inclined to take up fads, also FADDISH [adj FADDIER, FADDIEST]"
FADED,"FADE, to lose colour or brightness [v]"
FADER,a sliding control as used e.g. on audio and lighting equipment to set levels of sound and light [n -S]
FADES,"FADE, to lose colour or brightness [v]"
FAGIN,an adult who instructs others in crime [n -S]
FAGOT,"to bind together in a bundle, also FAGGOT [v -ED, -ING, -S]"
FAILS,"FAIL, to be unsuccessful in an attempt [v]"
FAINT,"to lose consciousness [v -ED, -ING, -S] / lacking strength [adj FAINTER, FAINTEST, FAINTLY]"
FAIRS,"FAIR, to make fair [v]"
FAIRY,"a creature of folklore, an imaginary being, generally of diminutive and graceful human form [n FAIRIES] / of or like a fairy [adj FAIRIER, FAIRIEST, FAIRILY]"
FAITH,"to believe or trust [v -ED, -ING, -S]"
FAKED,"FAKE, to contrive and present as genuine [v]"
FAKER,one who fakes e.g. works of art [n -S]
FAKES,"FAKE, to contrive and present as genuine [v]"
FAKEY,"fake [adj FAKIER, FAKIEST] / a skateboarding position in which the skateboarder faces the opposite direction to that which they would normally, also FAKIE [n -S]"
FALLS,"FALL, to descend freely by force of gravity [v]"
FALSE,"to deceive [v FALSED, FALSING, FALSES] / not genuine [adj FALSER, FALSEST, FALSELY]"
FAMED,"FAME, to make famous [v]"
FAMES,"FAME, to make famous [v]"
FANCY,"to take a liking to [v FANCIED, FANCYING, FANCIES] / ornamental [adj FANCIER, FANCIEST, FANCILY]"
FANES,"FANE, a temple [n]"
FANGS,"FANG, to seize in the teeth, also PHANG [v]"
FARAD,a unit of electrical capacitance [n -S]
FARCE,"to fill with stuffing [v FARCED, FARCING, FARCES]"
FARCY,"a chronic horse disease, also FARCIN [n FARCIES]"
FARDS,"FARD, to paint with cosmetics [v]"
FARED,"FARE, to get on or succeed [v]"
FARER,a traveller [n -S]
FARES,"FARE, to get on or succeed [v]"
FARMS,"FARM, to practise the business of a farmer [v]"
FAROS,"FARO, a card game [n]"
FARRO,a variety of wheat [n -S]
FARSE,"to expand a narrative by interpolation [v FARSED, FARSING, FARSES]"
FASTS,"FAST, to abstain from eating [v]"
FATAL,capable of causing death [adj FATALLY]
FATED,"FATE, to destine [v]"
FATES,"FATE, to destine [v]"
FATLY,"FAT, having an abundance of flesh [adv]"
FATTY,"one that is fat [n FATTIES] / greasy or oily [adj FATTIER, FATTIEST, FATTILY]"
FAUGH,used to express disgust [interj]
FAULD,the arch over the dam of a blast furnace [n -S]
FAULT,"to criticize [v -ED, -ING, -S]"
FAUNS,"FAUN, a rural deity represented as a man with a goat's ears, horns, tail, and hind legs [n]"
FAVES,"FAVE, a favourite person or thing [n]"
FAVOR,"to regard with goodwill, also FAVOUR [v -ED, -ING, -S]"
FAWNS,"FAWN, to please in a servile way [v]"
FAWNY,"yellowish-brown color [adj FAWNIER, FAWNIEST]"
FAXED,"FAX, to send messages via a machine that scans electronically [v]"
FAXES,"FAX, to send messages via a machine that scans electronically [v]"
FAYED,"FAY, to clean out esp. a ditch [v]"
FAYER,"FAY, whimsical, also FEY [adj]"
FAZED,"FAZE, to unsettle, also FEASE, FEAZE, FEESE, FEEZE, PHEESE, PHEEZE, PHESE [v]"
FAZES,"FAZE, to unsettle, also FEASE, FEAZE, FEESE, FEEZE, PHEESE, PHEEZE, PHESE [v]"
FEALS,"FEAL, to conceal [v]"
FEARE,"a companion, also FERE, FIER, FIERE, PHEER, PHEERE [n -S]"
FEARS,"FEAR, to be afraid of [v]"
FEASE,"to unsettle, also FAZE, FEAZE, FEESE, FEEZE, PHEESE, PHEEZE, PHESE [v FEASED, FEASING, FEASES]"
FEAST,"to dine sumptuously [v -ED, -ING, -S]"
FEAZE,"to unsettle, also FAZE, FEASE, FEESE, FEEZE, PHEESE, PHEEZE, PHESE [v FEAZED, FEAZING, FEAZES]"
FECAL,"relating to feces, also FAECAL [adj]"
FEDEX,"to send by Federal Express [v -ED, -ING, -ES]"
FEEDS,"FEED, to give food to [v]"
FEELS,"FEEL, to perceive by the sense of touch [v]"
FEESE,"to unsettle, also FAZE, FEASE, FEAZE, FEEZE, PHEESE, PHEEZE, PHESE [v FEESED, FEESING, FEESES]"
FEEZE,"to unsettle, also FAZE, FEASE, FEAZE, FEESE, PHEESE, PHEEZE, PHESE [v FEEZED, FEEZING, FEEZES]"
FEIGN,"to pretend, give a false impression, also FAINE, FAYNE [v -ED, -ING, -S]"
FEINT,"to make a pretence [v -ED, -ING, -S] / ruled with faint lines [adj FEINTER, FEINTEST]"
FEIST,"a small dog of mixed breed, also FICE, FYCE [n -S]"
FELLS,"FELL, to cause to fall [v]"
FELLY,"the rim of a wheel, also FELLOE [n FELLIES]"
FELON,a person guilty of a felony [n -S]
FELTS,"FELT, to mat together [v]"
FELTY,"matted like felt [adj FELTIER, FELTIEST]"
FEMES,"FEME, a legal term for a woman, as in feme covert, married woman, feme sole, unmarried woman or widow [n]"
FEMMY,"markedly feminine in appearance [adj FEMMIER, FEMMIEST]"
FENCE,"to enclose with a barrier [v FENCED, FENCING, FENCES]"
FENDS,"FEND, to ward off [v]"
FENKS,the refuse of whale-blubber [n FENKS]
FENNY,"an alcoholic spirit made from coconuts, also FENI [n FENNIES] / having fens [adj FENNIER, FENNIEST]"
FENTS,"FENT, a slit [n]"
FEODS,"FEOD, a fief or land held on condition of service [n]"
FERAL,of a species which breeds in the wild but is derived from domesticated stock [adj] / a person who displays wild tendencies [n -S]
FERER,"FERE, able [adj]"
FERLY,"marvellous [adj FERLIER, FERLIEST] / to wonder [v FERLIED, FERLYING, FERLIES]"
FERMI,"in physics, a unit of 10 to power of -15 m [n -S]"
FERNS,"FERN, a flowerless vascular plant [n]"
FERNY,"covered with ferns [adj FERNIER, FERNIEST]"
FERRY,"to transport by a type of boat [v FERRIED, FERRYING, FERRIES]"
FESSE,a horizontal band across the middle of a shield [n -S]
FESTS,"FEST, a gathering of people for an activity [n]"
FETAL,"pertaining to a fetus, also FOETAL [adj]"
FETCH,"to go after and bring back [v -ED, -ING, -ES]"
FETID,"stinking, also FOETID [adj FETIDER, FETIDEST, FETIDLY]"
FEUDS,"FEUD, to engage in a persistent state of private enmity [v]"
FEVER,"to affect with an abnormally high body temperature [v -ED, -ING, -S]"
FEWER,"FEW, not many [adj]"
FEYED,"FEY, to clean out, esp. a ditch [v]"
FEYER,"FEY, foreseeing the future, also FAY [adj]"
FEYLY,"FEY, foreseeing the future, also FAY [adv]"
FEZES,"FEZ, a red brimless cap of wool or felt [n]"
FIATS,"FIAT, to sanction [v]"
FIBER,"a threadlike cell or filament, also FIBRE [n -S]"
FIBRE,"a threadlike cell or filament, also FIBER [n -S]"
FICES,"FICE, a small dog of mixed breed, also FEIST, FYCE [n]"
FICIN,"a cysteine proteinase isolated from the latex of figs, also FICAIN [n -S]"
FIDOS,"FIDO, a coin having a minting error [n]"
FIELD,"to play as a fielder [v -ED, -ING, -S]"
FIEND,a devil; a person driven by the most intense wickedness or hate [n -S]
FIERE,"a companion, also FERE, FEARE, FIER, PHEER, PHEERE [n -S]"
FIERS,"FIER, a companion, also FERE, FEARE, FIERE, PHEER, PHEERE [n]"
FIERY,"intensely hot [adj FIERIER, FIERIEST, FIERILY]"
FIEST,"FIE, whimsical, fey [adj]"
FIGGY,"resembling, containing, or tasting like figs [adj FIGGIER, FIGGIEST]"
FIGHT,"to contend in war, battle or single combat [v FOUGHT, FOUGHTEN, FIGHTING, FIGHTS]"
FILAR,pertaining to a thread [adj]
FILCH,"to pilfer [v -ED, -ING, -ES]"
FILED,"FILE, to arrange in order for future reference [v]"
FILER,a person or thing that files [n -S]
FILES,"FILE, to arrange in order for future reference [v]"
FILET,"to cut boneless slices from, also FILLET [v -ED, -ING, -S]"
FILKS,"FILK, a type of popular music that parodies folk songs [n]"
FILLS,"FILL, to make full [v]"
FILLY,a female horse up to four years old [n FILLIES]
FILMS,"FILM, to make a motion picture [v]"
FILMY,"thin, delicate [adj FILMIER, FILMIEST, FILMILY]"
FILTH,foul or dirty matter [n -S]
FINAL,last in sequence [adj FINALLY] / the last examination of an academic course [n -S]
FINCH,a small bird [n -ES]
FINDS,"FIND, to come upon after a search [v]"
FINED,"FINE, to incur a monetary penalty [v]"
FINER,a refiner [n -S]
FINES,"FINE, to incur a monetary penalty [v]"
FINKS,"FINK, to inform to the police [v]"
FINNY,"having fins [adj FINNIER, FINNIEST]"
FIQHS,"FIQH, Islamic jurisprudence, an expansion of the Sharia Islamic law [n]"
FIQUE,a tough natural fibre similar to hemp [n -S]
FIRED,"FIRE, to project by discharging from a gun [v]"
FIRER,a person who fires [n -S]
FIRES,"FIRE, to project by discharging from a gun [v]"
FIRMS,"FIRM, to make firm [v]"
FIRRY,"abounding in firs [adj FIRRIER, FIRRIEST]"
FIRST,preceding all others [adj FIRSTLY] / something that precedes all others [n -S]
FIRTH,an inlet of the sea [n -S]
FISHY,"consisting of fish [adj FISHIER, FISHIEST, FISHILY]"
FISKS,"FISK, to frisk, gad about [v]"
FISTS,"FIST, to strike with the tightly closed hand [v]"
FISTY,"like a fist [adj FISTIER, FISTIEST]"
FITCH,"a polecat, also FITCHET, FITCHEW [n -ES]"
FITLY,"in a fit manner [adv FITLIER, FITLIEST]"
FIVER,"a five dollar bill, a five pound note [n -S]"
FIVES,"FIVE, a number [n]"
FIXED,"FIX, to make firm, repair [v]"
FIXER,one that fixes [n -S]
FIXES,"FIX, to make firm, repair [v]"
FIXIT,a person known for fixing things [n -S]
FLABS,"FLAB, excess body fat [n]"
FLACK,"to work as a press agent [v -ED, -ING, -S]"
FLAGS,"FLAG, to mark with a cloth used as a symbol [v]"
FLAIL,"to thresh about [v -ED, -ING, -S]"
FLAIR,a natural skill [n -S]
FLAKE,"to peel off in thin flat pieces [v FLAKED, FLAKING, FLAKES]"
FLAKS,"FLAK, antiaircraft fire [n]"
FLAKY,"a fit of temper [n FLAKIES] / tending to form flakes [adj FLAKIER, FLAKIEST, FLAKILY]"
FLAME,"to burn brightly [v FLAMED, FLAMING, FLAMES]"
FLAMS,"FLAM, to deceive [v]"
FLAMY,"flaming [adj FLAMIER, FLAMIEST]"
FLANE,"to walk idly, saunter [v FLANED, FLANING, FLANES]"
FLANK,"to be situated to the side of [v -ED, -ING, -S]"
FLANS,"FLAN, a type of custard, also FLAMM, FLAUNE, FLAWN [n]"
FLAPS,"FLAP, to move, as of wings [v]"
FLARE,"to display glaringly with a blaze [v FLARED, FLARING, FLARES]"
FLARY,"tending to flare [adj FLARIER, FLARIEST]"
FLASH,"showy, vulgar [adj FLASHER, FLASHEST] / to shine briefly [v -ED, -ING, -ES]"
FLASK,a narrow-necked container [n -S]
FLATS,"FLAT, to make flat [v]"
FLAWS,"FLAW, to make defective or imperfect [v]"
FLAWY,"full of flaws [adj FLAWIER, FLAWIEST]"
FLAXY,"like flax; of a light colour [adj FLAXIER, FLAXIEST]"
FLAYS,"FLAY, to strip off skin or hide [v]"
FLEAM,a lancet for bleeding horses [n -S]
FLEAS,"FLEA, any of an order of wingless, very agile, parasitic, bloodsucking insects [n]"
FLECK,"to mark with tiny streaks or spots [v -ED, -ING, -S]"
FLEEK,"stylishness, as in on fleek, stylish, chic [n -S]"
FLEER,"to deride by making a face [v -ED, -ING, -S]"
FLEES,"FLEE, to run away [v]"
FLEET,"swift, also FLITT [adj FLEETER, FLEETEST, FLEETLY] / to move swiftly [v -ED, -ING, -S]"
FLESH,"to scrape soft body tissue from [v -ED, -ING, -ES]"
FLEWS,"FLEW, the floppy upper lip of dogs such as bloodhounds [n]"
FLEXO,"a method of rotary letterpress printing, also FLEXOGRAPHY [n -S]"
FLICK,"to strike lightly with a fingernail [v -ED, -ING, -S]"
FLIED,"FLY, to move through the air [v]"
FLIER,"one that flies, also FLYER [n -S]"
FLIES,"FLY, to move through the air [v]"
FLIMP,"to rob while diverted by an accomplice [v -ED, -ING, -S]"
FLING,"to throw with force [v FLUNG, FLINGING, FLINGS]"
FLINT,"to provide with a spark-producing rock [v -ED, -ING, -S]"
FLIPS,"FLIP, to spin in the air [v]"
FLIRS,"FLIR, forward looking infrared radar, an electronic heat sensor able to detect and display on a TV.-like screen a distant scene despite darkness, smoke etc. used esp. in military aircraft [n]"
FLIRT,"to engage in amorous banter [v -ED, -ING, -S]"
FLITS,"FLIT, to move lightly and swiftly [v]"
FLOAT,"to rest or move on the surface of liquid [v -ED, -ING, -S]"
FLOCK,"to gather or move in crowds [v -ED, -ING, -S]"
FLOCS,"FLOC, to aggregate into floccules [v]"
FLOES,"FLOE, a large mass of floating ice [n]"
FLOGS,"FLOG, to beat with a whip [v]"
FLONG,papier-mache for making stereotype moulds [n -S]
FLOOD,"to inundate [v -ED, -ING, -S]"
FLOOR,"to supply with the lower supporting surface of a room [v -ED, -ING, -S]"
FLOPS,"FLOP, to drop heavily [v]"
FLORS,"FLOR, a flavoursome yeast on sherry wines [n]"
FLORY,"having fleur-de-lis [adj FLORIER, FLORIEST]"
FLOSH,"any loose downy stuff, floss [n -ES]"
FLOSS,"to clean between the teeth with strong thread [v -ED, -ING, -ES]"
FLOTE,"to skim e.g. milk [v FLOTED, FLOTING, FLOTES]"
FLOUR,"to cover with a finely ground meal or grain [v -ED, -ING, -S]"
FLOUT,"to treat with contempt [v -ED, -ING, -S]"
FLOWN,"FLY, to move through the air [v]"
FLOWS,"FLOW, to move steadily and smoothly along [v]"
FLUBS,"FLUB, to bungle, botch [v]"
FLUED,having a flue [adj]
FLUES,"FLUE, a smoke-duct in a chimney [n]"
FLUEY,"infected with the flu [adj FLUIER, FLUIEST]"
FLUID,flowing [adj FLUIDLY] / a substance that tends to flow [n -S]
FLUKE,"to obtain by chance [v FLUKED, FLUKING, FLUKES]"
FLUKY,"lucky, by accidental success, also FLUKEY [adj FLUKIER, FLUKIEST, FLUKILY]"
FLUME,"to convey by an artificial water channel [v FLUMED, FLUMING, FLUMES]"
FLUMP,"to fall or move heavily [v -ED, -ING, -S]"
FLUNG,"FLING, to throw with force [v]"
FLUNK,"to fail in an examination [v -ED, -ING, -S]"
FLURR,"to scatter [v -ED, -ING, -S]"
FLUSH,"to clean by a gush of water [v -ED, -ING, -ES] / with ample money [adj FLUSHER, FLUSHEST]"
FLUTE,"to play on a woodwind instrument [v FLUTED, FLUTING, FLUTES]"
FLUTY,"resembling a flute in sound, also FLUTEY [adj FLUTIER, FLUTIEST]"
FLYBY,"a flight, at low altitude or close range, also FLYPAST [n -S]"
FLYER,"one that flies, also FLIER [n -S]"
FLYPE,"to strip back, to turn partly inside out e.g. a hat-brim [v FLYPED, FLYPING, FLYPES]"
FOALS,"FOAL, to give birth to a horse [v]"
FOAMS,"FOAM, to form froth or bubbles [v]"
FOAMY,"covered with foam [adj FOAMIER, FOAMIEST, FOAMILY]"
FOCAL,pertaining to a focus [adj FOCALLY]
FOGEY,"a person with an old-fashioned outlook, also FOGY, FOGIE, FOGRAM [n -S]"
FOGGY,"filled with fog [adj FOGGIER, FOGGIEST, FOGGILY]"
FOGIE,"a person with an old-fashioned outlook, also FOGY, FOGEY, FOGRAM [n -S]"
FOGOU,"a manmade underground passage or chamber, found in Cornwall [n -S]"
FOIDS,"FOID, any mineral of a group related to feldspar, also FELDSPATHOID, FELSPATHOID [n]"
FOILS,"FOIL, to defeat or baffle [v]"
FOINS,"FOIN, to thrust with a spear or sword, also FOYNE [v]"
FOLDS,"FOLD, to double over [v]"
FOLEY,"in filming, the footsteps editor [n -S]"
FOLIC,designating a type of acid [adj]
FOLIO,"to number the pages of [v -ED, -ING, -S]"
FOLKS,"FOLK, a people or tribe [n]"
FOLKY,"a performer of folk music, also FOLKIE [n FOLKIES] / down to earth [adj FOLKIER, FOLKIEST]"
FOLLY,"to act with folly [v FOLLIED, FOLLYING, FOLLIES] / a foolish idea or action [n FOLLIES]"
FONDS,"FOND, to display affection [v]"
FONES,"FONE, (colloq.) a phone [n]"
FONLY,foolishly [adv]
FONTS,"FONT, a container for baptismal water [n]"
FOODS,"FOOD, nourishment for the body to maintain life and growth [n]"
FOODY,"an enthusiast for food and its preparation, also FOODIE [n FOODIES]"
FOOLS,"FOOL, to deceive [v]"
